form	lemma	POS	morph
		
༽		PUNCT
བླ་མ་	བླ་མ་	NOUN
རིན་པོ་ཆེ་	རིན་པོ་ཆེ་	ADJ
ས་	གིས་	PART
མཛད་པ་	མཛད་པ་	VERB
འི་	གི་	PART
ཕྱག་	ཕྱག་	NOUN
ཆེན་	ཆེན་	NO_POS
གཤིས་	གཤིས་	OTHER
བབ་	བབ་	VERB
ངོ་སྤྲོད་པ་	ངོ་སྤྲོད་པ་	NOUN
འི་	གི་	PART
གདམས་པ་	གདམས་པ་	VERB
།		PUNCT
		
༽		PUNCT
གཞི་	གཞི་	NOUN
ལམ་	གམ་	PART
འབྲས་	འབྲས་	NOUN
གསུམ་	གསུམ་	NUM
གཤིས་	གཤིས་	OTHER
ཀྱི་	གི་	PART
འགྲོ་	འགྲོ་	VERB
ཚུལ་	ཚུལ་	NOUN
བཀྲ་ཤིས་	བཀྲ་ཤིས་	NOUN
སེང་གེ་	སེང་གེ་	NOUN
ར་	ལ་	PART
གནང་བ་	གནང་བ་	NO_POS
།		PUNCT
		
༽		PUNCT
གཞི་	གཞི་	NOUN
ལམ་	གམ་	PART
འབྲས་	འབྲས་	NOUN
གསུམ་	གསུམ་	NUM
གྱི་	གི་	PART
བསྟན་བཅོས་	བསྟན་བཅོས་	NOUN
ཀུན་	ཀུན་	DET
ཕན་	ཕན་	NOUN
རིན་པོ་ཆེ་	རིན་པོ་ཆེ་	ADJ
རྒྱལ་མཚན་	རྒྱལ་མཚན་	NOUN
།		PUNCT
		
༽		PUNCT
འཕན་ཡུལ་	འཕན་ཡུལ་	PROPN
དཔོན་	དཔོན་	NOUN
ཆེན་	ཆེན་	NO_POS
ཡེ་ཤེས་	ཡེ་ཤེས་	NOUN
ཚུལ་ཁྲིམས་	ཚུལ་ཁྲིམས་	NOUN
ཀྱི་	གི་	PART
སྤྱན་སྔ་	སྤྱན་སྔ་	PROPN
ར་	ལ་	PART
སྤྲིངས་པ་	སྤྲིངས་པ་	VERB
།		PUNCT
		
༽		PUNCT
ཇོ་	ཇོ་	NO_POS
སྲ་	སྲ་	NOUN
ལ་	ལ་	ADP
སྐྱེ་	སྐྱེ་	VERB
ཕྲིན་	ཕྲིན་	NOUN
དང་	དང་	NO_POS
ཕག་གྲུ་	ཕག་གྲུ་	PROPN
འི་	གི་	PART
གདན་	གདན་	NOUN
འཛིན་	འཛིན་	VERB
ལ་	ལ་	ADP
བསྟོད་པ་	བསྟོད་པ་	VERB
།		PUNCT
		
༽		PUNCT
དགེ་བཤེས་	དགེ་བཤེས་	NOUN
བེར་	བེར་	NOUN
སྟོན་	སྟོན་	VERB
ཀླག་	ཀླག་	NO_POS
སྟོན་	སྟོན་	VERB
སོགས་	སོགས་	DET
རྔོད་པ་	རྔོད་པ་	VERB
འི་	གི་	PART
སྒོམ་ཆེན་	སྒོམ་ཆེན་	NOUN
རྣམས་	རྣམས་	DET
ལ་	ལ་	ADP
སྤྲིངས་པ་	སྤྲིངས་པ་	VERB
།		PUNCT
		
༽		PUNCT
ཉོན་མོངས་	ཉོན་མོངས་	NOUN
རྣམ་	རྣམ་	NOUN
གསུམ་	གསུམ་	NUM
གྱི་	གི་	PART
དབང་	དབང་	NOUN
དུ་	ལ་	PART
མི་	མི་	PART
གཏོང་བ་	གཏོང་བ་	VERB
བླ་མེད་	བླ་མེད་	ADJ
ཐེག་པ་	ཐེག་པ་	NOUN
འི་	གི་	PART
ཉམས་ལེན་	ཉམས་ལེན་	NOUN
གྱི་	གི་	PART
སྐོར་	སྐོར་	NOUN
།		PUNCT
		
		
༽		PUNCT
སྐྱེས་བུ་	སྐྱེས་བུ་	NOUN
དམ་པ་	དམ་པ་	VERB
འི་	གི་	PART
ཐུགས་དམ་	ཐུགས་དམ་	NOUN
མེ་ཏོག་ཕྲེང་བ་	མེ་ཏོག་ཕྲེང་བ་	NOUN
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
གཅེས་པ་	གཅེས་པ་	VERB
འི་	གི་	PART
སྙིང་པོ་	སྙིང་པོ་	NOUN
།		PUNCT
		
༽		PUNCT
བླ་མ་	བླ་མ་	NOUN
མཉེས་པ་	མཉེས་པ་	VERB
ར་	ལ་	PART
བྱེད་པ་	བྱེད་པ་	VERB
འི་	གི་	PART
རིན་ཆེན་	རིན་ཆེན་	OTHER
ཞེས་་	ཞེས་པ་	PART
སྟོན་པ་	སྟོན་པ་	NOUN
རྒྱལ་བ་	རྒྱལ་བ་	NOUN
འབུམ་	འབུམ་	NUM
གྱི་	གི་	PART
ཞུ་	ཞུ་	VERB
ཆོ་	ཆོ་	NOUN
།		PUNCT
		
༽		PUNCT
རང་སེམས་	རང་སེམས་	NOUN
རང་བྱུང་	རང་བྱུང་	NOUN
འདུས་མ་བྱས་	འདུས་མ་བྱས་	NO_POS
ཞེས་་	ཞེས་པ་	PART
བྱང་ཆུབ་	བྱང་ཆུབ་	NOUN
ནམ་མཁ་	ནམ་མཁའ་	NOUN
འི་	གི་	PART
མཚན་ཉིད་	མཚན་ཉིད་	NOUN
།		PUNCT
		
༽		PUNCT
རང་	རང་	PRON
ཐེད་	ཐེད་	NO_POS
ལ་	ལ་	ADP
བཏང་	བཏང་	VERB
ན་	ནས་	PART
གཞན་དོན་	གཞན་དོན་	NOUN
བྱེད་	བྱེད་	VERB
ཅེས་པ་	ཅེས་པ་	PART
སྟོན་པ་	སྟོན་པ་	NOUN
བློ་གྲོས་	བློ་གྲོས་	NOUN
སེང་གེ་	སེང་གེ་	NOUN
ར་	ལ་	PART
གསུངས་པ་	གསུངས་པ་	VERB
།		PUNCT
		
༽		PUNCT
རང་	རང་	PRON
བློ་	བློ་	NOUN
ར་	ལ་	PART
ཤར་བ་	ཤར་བ་	VERB
འི་	གི་	PART
གདམས་ངག་	གདམས་ངག་	NOUN
ཞལ་གདམས་	ཞལ་གདམས་	NOUN
གེགས་	གེགས་	NOUN
སེལ་	སེལ་	VERB
ཆེན་	ཆེན་	NO_POS
མོ་	མོ་	PRON
།		PUNCT
		
༽		PUNCT
བཅུ་	བཅུ་	NUM
ཆོ་	ཆོ་	NOUN
ཀྱི་	གི་	PART
གེགས་	གེགས་	NOUN
སེལ་	སེལ་	VERB
ཟབ་མོ་	ཟབ་མོ་	ADJ
སྟོན་པ་	སྟོན་པ་	NOUN
དར་མ་	དར་མ་	PROPN
བློ་གྲོས་	བློ་གྲོས་	NOUN
ཀྱི་	གི་	PART
ཞུ་	ཞུ་	VERB
ཆོ་	ཆོ་	NOUN
།		PUNCT
		
༽		PUNCT
དཔལ་	དཔལ་	OTHER
ནཱ་	ནཱ་	NO_POS
རོ་	རོ་	NOUN
འི་	གི་	PART
བརྒྱུད་པ་	བརྒྱུད་པ་	VERB
འདི་	འདི་	DET
ཚིག་	ཚིག་	NOUN
བརྒྱུད་	བརྒྱུད་	NO_POS
མིན་པ་	མིན་པ་	VERB
ར་	ལ་	PART
ཉམས་རྟོགས་	ཉམས་རྟོགས་	NOUN
ཀྱི་	གི་	PART
བརྒྱུུད་པ་	བརྒྱུུད་པ་	NON_WORD
ཡིན་པ་	ཡིན་པ་	AUX
།		PUNCT
		
༽		PUNCT
ཆོ་	ཆོ་	NOUN
ཚུལ་བཞིན་	ཚུལ་བཞིན་	NOUN
ཉམས་	ཉམས་	NOUN
སུ་	སུ་	ADP
ལེན་	ལེན་	VERB
དགོས་པ་	དགོས་པ་	VERB
འི་	གི་	PART
གདམས་ངག་	གདམས་ངག་	NOUN
གྲོ་	གྲོ་	NOUN
མདུན་	མདུན་	NOUN
ཆེན་མ་	ཆེན་མ་	NOUN
།		PUNCT
		
༽		PUNCT
བག་ཆགས་	བག་ཆགས་	NOUN
དག་པ་	དག་པ་	VERB
འི་	གི་	PART
འབྲས་བུ་	འབྲས་བུ་	NOUN
དྲི་མེད་	དྲི་མེད་	ADJ
ཆོས་སྐུ་	ཆོས་སྐུ་	NOUN
ཡིན་པ་	ཡིན་པ་	AUX
འི་	གི་	PART
རྟེན་འབྲེལ་	རྟེན་འབྲེལ་	NOUN
ཟབ་མོ་	ཟབ་མོ་	ADJ
།		PUNCT
		
༽		PUNCT
འཕགས་པ་	འཕགས་པ་	VERB
ཆ་	ཆ་	NOUN
ར་	ལ་	PART
ཀ་	ཀ་	DET
ས་	གིས་	PART
སྤོང་	སྤོང་	VERB
མགུ་	མགུ་	VERB
སྤྱོད་པ་	སྤྱོད་པ་	VERB
ལ་	ལ་	ADP
ས་	གིས་	PART
གསུངས་པ་	གསུངས་པ་	VERB
འི་	གི་	PART
སོ་ཐར་	སོ་ཐར་	OTHER
མེ་ལོང་	མེ་ལོང་	NOUN
།		PUNCT
		
༽		PUNCT
རྟེན་འབྲེལ་	རྟེན་འབྲེལ་	NOUN
མ་	མ་	PART
འཛོམས་པ་	འཛོམས་པ་	VERB
ས་	གིས་	PART
དུས་ཡུན་	དུས་ཡུན་	NO_POS
བསྐལ་པ་	བསྐལ་པ་	NOUN
འི་	གི་	PART
བར་ཆད་	བར་ཆད་	NOUN
དུ་	ལ་	PART
འགྱུར་བ་	འགྱུར་བ་	VERB
ཤེ་	ཤེ་	VERB
དགོས་པ་	དགོས་པ་	VERB
།		PUNCT
		
༽		PUNCT
ཉམས་རྟོགས་	ཉམས་རྟོགས་	NOUN
ཀྱི་	གི་	PART
གནད་གསང་	གནད་གསང་	NO_POS
སྒྲོ་འདོགས་	སྒྲོ་འདོགས་	NOUN
གཅོད་པ་	གཅོད་པ་	VERB
གཞོན་ནུ་	གཞོན་ནུ་	ADJ
ཤེས་རབ་	ཤེས་རབ་	NOUN
ཀྱི་	གི་	PART
ཞུ་	ཞུ་	VERB
ཚིག་	ཚིག་	NOUN
།		PUNCT
		
༽		PUNCT
ཉམས་རྟོགས་	ཉམས་རྟོགས་	NOUN
ཀྱི་	གི་	PART
གནད་གསང་	གནད་གསང་	NO_POS
སྒྲོ་འདོགས་	སྒྲོ་འདོགས་	NOUN
གཅོད་པ་	གཅོད་པ་	VERB
གཞོན་ནུ་	གཞོན་ནུ་	ADJ
ཤེས་རབ་	ཤེས་རབ་	NOUN
ཀྱི་	གི་	PART
ཞུ་	ཞུ་	VERB
ལན་	ལན་	NOUN
།		PUNCT
		
༽		PUNCT
སྒམ་པོ་	སྒམ་པོ་	PROPN
ཟངས་	ཟངས་	NOUN
ཟླུམ་	ཟླུམ་	NO_POS
ཡང་	ཀྱང་	PART
དགོན་	དགོན་	OTHER
དུ་	ལ་	PART
མོས་གུས་	མོས་གུས་	NOUN
ཅན་	ཅན་	PART
གྱི་	གི་	PART
ཉེ་	ཉེ་	VERB
གནས་	གནས་	NOUN
ཀྱི་	གི་	PART
ཞུ་ལན་	ཞུ་ལན་	OTHER
།		PUNCT
		
༽		PUNCT
ཞེ་འདོད་	ཞེ་འདོད་	NO_POS
ཀྱི་	གི་	PART
བསམ་པ་	བསམ་པ་	VERB
ཐ་དད་	ཐ་དད་	ADJ
ལ་	ལ་	ADP
ཅིར་	ཅིར་	NO_POS
ཡང་	ཀྱང་	PART
སྣང་	སྣང་	VERB
དུ་	ལ་	PART
བཏུབ་པ་	བཏུབ་པ་	NON_WORD
ཞེས་་	ཞེས་པ་	PART
།		PUNCT
		
༽		PUNCT
སྒྲུབ་པ་	སྒྲུབ་པ་	VERB
ཉམས་ལེན་	ཉམས་ལེན་	NOUN
གྱི་	གི་	PART
སྐོར་	སྐོར་	NOUN
ཞལ་གདམས་	ཞལ་གདམས་	NOUN
ལེ་ཚན་	ལེ་ཚན་	OTHER
དུམ་བུ་	དུམ་བུ་	NOUN
དྲུག་	དྲུག་	NUM
།		PUNCT
		
༽		PUNCT
མི་	མི་	PART
ཉག་	ཉག་	NOUN
རྒྱལ་པོ་	རྒྱལ་པོ་	NOUN
སོགས་	སོགས་	DET
ལ་	ལ་	ADP
གནང་བ་	གནང་བ་	NO_POS
འི་	གི་	PART
གསུང་འཕྲིན་	གསུང་འཕྲིན་	OTHER
དུམ་བུ་	དུམ་བུ་	NOUN
གཅིག་	གཅིག་	NUM
།		PUNCT
		
༽		PUNCT
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
མཁའ་འགྲོ་	མཁའ་འགྲོ་	NOUN
འི་	གི་	PART
གསང་ཚིག་	གསང་ཚིག་	NOUN
འཕགས་པ་	འཕགས་པ་	VERB
དོ་པ་	དོ་པ་	OTHER
ལ་	ལ་	ADP
གནང་བ་	གནང་བ་	NO_POS
།		PUNCT
		
༽		PUNCT
ཆོས་རྒྱལ་	ཆོས་རྒྱལ་	NOUN
ཡུམ་སྲས་	ཡུམ་སྲས་	NOUN
ལ་	ལ་	ADP
སྐུ་རྟེན་	སྐུ་རྟེན་	NO_POS
བཞེངས་	བཞེངས་	NO_POS
རྒྱུ་	རྒྱུ་	NOUN
ར་	ལ་	PART
སྦྱིན་བདག་	སྦྱིན་བདག་	NOUN
མཛད་	མཛད་	VERB
ཞུ་	ཞུ་	VERB
འི་	གི་	PART
ཕྲིན་	ཕྲིན་	NOUN
བསྐུལ་	བསྐུལ་	VERB
།		PUNCT
		
༽		PUNCT
བདག་	བདག་	PRON
འཛིན་	འཛིན་	VERB
གཏོང་བ་	གཏོང་བ་	VERB
འི་	གི་	PART
ཐབས་	ཐབས་	NOUN
ཀྱི་	གི་	PART
གདམས་པ་	གདམས་པ་	VERB
དགེ་བ་	དགེ་བ་	VERB
འི་	གི་	PART
བཤེས་གཉེན་	བཤེས་གཉེན་	NOUN
ཆེན་པོ་	ཆེན་པོ་	ADJ
ར་	ལ་	PART
གནང་བ་	གནང་བ་	NO_POS
།		PUNCT
		
༽		PUNCT
དོན་དམ་	དོན་དམ་	NOUN
གྱི་	གི་	PART
སྒོ་	སྒོ་	NOUN
ན་	ནས་	PART
ཡན་ལག་	ཡན་ལག་	NOUN
བདུན་པ་	བདུན་པ་	NUM
ཚིགས་	ཚིགས་	NOUN
